Artist,Label
Dave Stewart,Warner Music Group
Rod Stewart,Warner Music Group
Stone Sour,Warner Music Group
Stone Temple Pilots,Warner Music Group
The Stooges,Warner Music Group
Stooshe,Warner Music Group
Story of the Year,Warner Music Group
The Sugarcubes,Warner Music Group
Sugar Ray,Warner Music Group
Sum 41,Warner Music Group
The Sundance Kids,Warner Music Group
Stefanie Sun,Warner Music Group
Donna Summer,Warner Music Group
Gene Summers,Warner Music Group
Supergrass,Warner Music Group
Superfly,Warner Music Group
Keith Sweat,Warner Music Group
Sweetbox,Warner Music Group
Sweetwater,Warner Music Group
Switchfoot,Warner Music Group
Sofia Reyes,Warner Music Group
SHOOLBOYG Warner Music Group,Warner Music Group
T Bone Burnett,Warner Music Group
Taffy,Warner Music Group
Taking Back Sunday,Warner Music Group
Taking Dawn,Warner Music Group
The Mills,Warner Music Group
The Roop,Warner Music Group
Tangerine Dream,Warner Music Group
Tangier,Warner Music Group
Tanita Tikaram,Warner Music Group
Tank,Warner Music Group
James Taylor,Warner Music Group
Team Spirit,Warner Music Group
Team Syachihoko,Warner Music Group
Tears for Fears,Warner Music Group
Teddybears,Warner Music Group
Teitur,Warner Music Group
Tegan and Sara,Warner Music Group
Teresa Sterne,Warner Music Group
Teresa Stratas,Warner Music Group
Testament,Warner Music Group
TGT,Warner Music Group
Theory of a Deadman,Warner Music Group
Theophilus London,Warner Music Group
The Knocks,Warner Music Group
The Roop,Warner Music Group
They Might Be Giants,Warner Music Group
Third Eye Blind,Warner Music Group
Thom Sonny Green,Warner Music Group
T.I.,Warner Music Group
Tia Ray,Warner Music Group
Tiësto,Warner Music Group
Tigran Hamasyan,Warner Music Group
Tigresa del Oriente,Warner Music Group
Tim Buckley,Warner Music Group
Times of Grace,Warner Music Group
Timo Andres,Warner Music Group
Tinie Tempah,Warner Music Group
Ashley Tisdale,Warner Music Group
TISM,Warner Music Group
Titãs,Warner Music Group
Tommy Torres,Warner Music Group
Tom Dundee,Warner Music Group
Tom Petty,Warner Music Group
Tom Petty and the Heartbreakers,Warner Music Group
Tones and I,Warner Music Group
Tom Tom Club,Warner Music Group
Tori Amos,Warner Music Group
Toru Takemitsu,Warner Music Group
Tove Lo,Warner Music Group
Tracy Chapman,Warner Music Group
Trapt,Warner Music Group
Trespassers William,Warner Music Group
Trey Parker,Warner Music Group
Trivium,Warner Music Group
Trillville,Warner Music Group
Trippie Redd,Warner Music Group
True Tides,Warner Music Group
Tucker Beathard,Warner Music Group
Tunde Adebimpe,Warner Music Group
Twice,Warner Music Group
Twista,Warner Music Group
Twisted Sister,Warner Music Group
Twenty One Pilots,Warner Music Group
TAL,Warner Music Group
Ty Dolla Sign,Warner Music Group
Tyondai Braxton,Warner Music Group
Type O Negative,Warner Music Group
Tortur3 T,Warner Music Group
Theia,Warner Music Group
Christopher Uckermann,Warner Music Group
The Used,Warner Music Group
Ugly God,Warner Music Group
Valient Thorr,Warner Music Group
Vangelis,Warner Music Group
Van Halen,Warner Music Group
Vanilla Ice,Warner Music Group
Jenni Vartiainen,Warner Music Group
VersaEmerge,Warner Music Group
Versailles,Warner Music Group
The Velvet Underground,Warner Music Group
The Veronicas,Warner Music Group
VideoKids,Warner Music Group
Maija Vilkkumaa,Warner Music Group
Violent Femmes,Warner Music Group
Visions of Atlantis,Warner Music Group
Vixen,Warner Music Group
Vũ,Warner Music Group
Tom Waits,Warner Music Group
Waka Flocka Flame,Warner Music Group
Whirl Eye,Warner Music Group
Paul Wall,Warner Music Group
Wallows,Warner Music Group
Grover Washington Jr.,Warner Music Group
We as Human,Warner Music Group
Ween,Warner Music Group
Westernhagen,Warner Music Group
Weezer,Warner Music Group
White Lion,Warner Music Group
Whitesnake,Warner Music Group
Wiley,Warner Music Group
John Williams,Warner Music Group
Mason Williams,Warner Music Group
Winger,Warner Music Group
Within Temptation,Warner Music Group
Why Don't We,Warner Music Group
Wordsworth,Warner Music Group
X,Warner Music Group
X Japan,Warner Music Group
Xandria,Warner Music Group
Charli XCX,Warner Music Group
X.V.,Warner Music Group
Rachael Yamagata,Warner Music Group
Peter Yarrow,Warner Music Group
Yellowcard,Warner Music Group
Yellow Claw,Warner Music Group
Yellow Magic Orchestra,Warner Music Group
Yngwie Malmsteen,Warner Music Group
Yo-Yo,Warner Music Group
Yolanda Be Cool,Warner Music Group
Young the Giant,Warner Music Group
Young Thug,Warner Music Group
Ylvis,Warner Music Group
Yui Aragaki,Warner Music Group
Yui Asaka,Warner Music Group
Sami Yusuf,Warner Music Group
Yung Joc,Warner Music Group
Dwight Yoakam,Warner Music Group
Warren Zevon,Warner Music Group
Zay Hilfigerrr,Warner Music Group
Zahara,Warner Music Group
Zélia Duncan,Warner Music Group
Zion & Lennox,Warner Music Group
Zayion McCall,Warner Music Group
ZZ Top,Warner Music Group
Tomohisa Yamashita,Warner Music Group
Yazz,Warner Music Group
Zakk Wylde,Warner Music Group
Zaeden,Warner Music Group
1st.One,Warner Music Group
"10,000 Maniacs",Warner Music Group
3OH!3,Warner Music Group
5 Seconds Of Summer,Warner Music Group
Warner Music Group,Warner Music Group
10cc,Universal Music Group
10 Years,Universal Music Group
2 Chainz,Universal Music Group
3 Doors Down,Universal Music Group
4minute,Universal Music Group
4 Strings,Universal Music Group
5 Seconds of Summer,Universal Music Group
The 1975,Universal Music Group
Anitta,Universal Music Group
A-Mei Chang,Universal Music Group
Aaliyah,Universal Music Group
Abandon All Ships,Universal Music Group
AC/DC,Universal Music Group
Gracie Abrams,Universal Music Group
Ace of Base,Universal Music Group
Bryan Adams,Universal Music Group
AFI,Universal Music Group
Afrojack,Universal Music Group
After Midnight Project,Universal Music Group
AGA,Universal Music Group
Agoney,Universal Music Group
Airbourne,Universal Music Group
The Airborne Toxic Event,Universal Music Group
Aitana,Universal Music Group
AKB48,Universal Music Group
Akon,Universal Music Group
Yemi Alade,Universal Music Group
Alesso,Universal Music Group
All About Eve,Universal Music Group
The All-American Rejects,Universal Music Group
All That Remains,Universal Music Group
All Time Low,Universal Music Group
Gary Allan,Universal Music Group
Alphabeat,Universal Music Group
Alphaville,Universal Music Group
Alsou,Universal Music Group
Alter Bridge,Universal Music Group
Amaranthe,Universal Music Group
Amr Diab,Universal Music Group
Namie Amuro,Universal Music Group
Anastacia,Universal Music Group
Anberlin,Universal Music Group
Angels & Airwaves,Universal Music Group
Anggun,Universal Music Group
Paul Anka,Universal Music Group
Anthrax,Universal Music Group
Steve Aoki,Universal Music Group
Apink,Universal Music Group
Apocalyptica,Universal Music Group
The Aquabats,Universal Music Group
Guilherme Arantes,Universal Music Group
Beni Arashiro,Universal Music Group
Arcade Fire,Universal Music Group
Jann Arden,Universal Music Group
India Arie,Universal Music Group
Army of Lovers,Universal Music Group
Ashanti,Universal Music Group
Ashes Divide,Universal Music Group
Asia,Universal Music Group
Putthipong Assaratanakul,Universal Music Group
Rick Astley,Universal Music Group
Astrid S,Universal Music Group
Atreyu,Universal Music Group
Ateez,Universal Music Group
Audioslave,Universal Music Group
Ariel Nan,Universal Music Group
August Burns Red,Universal Music Group
Johnta Austin,Universal Music Group
Jin Au-Yeung,Universal Music Group
Avenged Sevenfold,Universal Music Group
Iggy Azalea,Universal Music Group
Charles Aznavour,Universal Music Group
BG,Universal Music Group
Lil Baby,Universal Music Group
Babyface,Universal Music Group
Baby Lasagna,Universal Music Group
Bad Meets Evil,Universal Music Group
Erykah Badu,Universal Music Group
Backstreet Boys,Universal Music Group
David Banner,Universal Music Group
David Glen Eisley,Universal Music Group
Barenaked Ladies,Universal Music Group
Base Ball Bear,Universal Music Group
Bastille,Universal Music Group
Franco Battiato,Universal Music Group
Beast,Universal Music Group
Beastie Boys,Universal Music Group
The Beatles,Universal Music Group
Bee Gees,Universal Music Group
Kristen Bell,Universal Music Group
Pat Benatar,Universal Music Group
Benny Benassi,Universal Music Group
Edoardo Bennato,Universal Music Group
Eugenio Bennato,Universal Music Group
Dierks Bentley,Universal Music Group
Ben Utomo,Universal Music Group
Berlin,Universal Music Group
Gael García Bernal,Universal Music Group
Tiago Bettencourt,Universal Music Group
Beyoncé,Universal Music Group
Justin Bieber,Universal Music Group
BigBang,Universal Music Group
Big Sean,Universal Music Group
Jane Birkin,Universal Music Group
David Bisbal,Universal Music Group
Aloe Blacc,Universal Music Group
Dan Black,Universal Music Group
The Black Eyed Peas,Universal Music Group
Blackpink,Universal Music Group
Black Tide,Universal Music Group
Black Veil Brides,Universal Music Group
Blink-182,Universal Music Group
Blood Raw,Universal Music Group
Bloodhound Gang,Universal Music Group
Bloom 06,Universal Music Group
The Notorious B.I.G.,Universal Music Group
Billy Blue,Universal Music Group
Blue,Universal Music Group
Blue October,Universal Music Group
Jonas Blue,Universal Music Group
Emily Blunt,Universal Music Group
James Blunt,Universal Music Group
Andrea Bocelli,Universal Music Group
Bombay Rockers,Universal Music Group
Black Sabbath,Universal Music Group
Badshah,Universal Music Group
Bon Jovi,Universal Music Group
Bond,Universal Music Group
Bone Thugs-n-Harmony,Universal Music Group
Boston,Universal Music Group
Boys Republic,Universal Music Group
Bow Wow,Universal Music Group
Brand New,Universal Music Group
Brandy,Universal Music Group
The Bravery,Universal Music Group
TJ Davis,Universal Music Group
Tamar Braxton,Universal Music Group
Toni Braxton,Universal Music Group
Breaking Benjamin,Universal Music Group
Alicia Bridges,Universal Music Group
Carlinhos Brown,Universal Music Group
Divine Brown,Universal Music Group
James Brown,Universal Music Group
Bruno & Marrone,Universal Music Group
Luke Bryan,Universal Music Group
BtoB,Universal Music Group
BTS,Universal Music Group
Buckcherry,Universal Music Group
Bullet for My Valentine,Universal Music Group
Bun B,Universal Music Group
Emma Bunton,Universal Music Group
Buraka Som Sistema,Universal Music Group
David Bustamante,Universal Music Group
Butthole Surfers,Universal Music Group
BlackBoi Carti,Universal Music Group
Camila Cabello,Universal Music Group
Colbie Caillat,Universal Music Group
Camille,Universal Music Group
Bruno Campos,Universal Music Group
Caparezza,Universal Music Group
Capital Cities,Universal Music Group
Lewis Capaldi,Universal Music Group
Alessia Cara,Universal Music Group
Irene Cara,Universal Music Group
Mariah Carey,Universal Music Group
Belinda Carlisle,Universal Music Group
Kim Carnes,Universal Music Group
Sabrina Carpenter,Universal Music Group
The Carpenters,Universal Music Group
Vikki Carr,Universal Music Group
Brynn Cartelli,Universal Music Group
Cascada,Universal Music Group
Jace Chan,Universal Music Group
Johnny Cash,Universal Music Group
Cash Cash,Universal Music Group
Cassie,Universal Music Group
Biquini Cavadão,Universal Music Group
Nick Cave,Universal Music Group
Cazuza,Universal Music Group
Cepeda,Universal Music Group
Chamillionaire,Universal Music Group
Eason Chan,Universal Music Group
Jordan Chan,Universal Music Group
Greyson Chance,Universal Music Group
Keshia Chanté,Universal Music Group
Charlee,Universal Music Group
Charlene,Universal Music Group
Ray Charles,Universal Music Group
Charles and Eddie,Universal Music Group
Justin Chart,Universal Music Group
Sunidhi Chauhan,Universal Music Group
The Cheetah Girls,Universal Music Group
The Chemical Brothers,Universal Music Group
Kelly Chen,Universal Music Group
Chenoa,Universal Music Group
Cher,Universal Music Group
Cherish,Universal Music Group
Cheryl,Universal Music Group
Jacky Cheung,Universal Music Group
Tessanne Chin,Universal Music Group
Children Collide,Universal Music Group
Phil Collins,Universal Music Group
Chicane,Universal Music Group
Children of Bodom,Universal Music Group
China Crisis,Universal Music Group
Chitãozinho & Xororó,Universal Music Group
Jay Chou,Universal Music Group
Chumbawamba,Universal Music Group
Chvrches,Universal Music Group
Tami Chynn,Universal Music Group
Cimorelli,Universal Music Group
Cinema Bizarre,Universal Music Group
City Boy,Universal Music Group
Petula Clark,Universal Music Group
Robert Clary,Universal Music Group
Classics IV,Universal Music Group
Cledus Maggard & the Citizen's Band,Universal Music Group
Jemaine Clement,Universal Music Group
Clementino,Universal Music Group
Patsy Cline,Universal Music Group
George Clinton,Universal Music Group
Clouds,Universal Music Group
Momoiro Clover,Universal Music Group
Coal Chamber,Universal Music Group
Joe Cocker,Universal Music Group
Coldplay,Universal Music Group
Keyshia Cole,Universal Music Group
Jacob Collier,Universal Music Group
Common,Universal Music Group
Jennifer Connelly,Universal Music Group
Bradley Cooper,Universal Music Group
Easton Corbin,Universal Music Group
Chris Cornell,Universal Music Group
Corson,Universal Music Group
Counting Crows,Universal Music Group
Clique Girlz,Universal Music Group
Crashdïet,Universal Music Group
Ciara,Universal Music Group
CPM 22,Universal Music Group
The Cranberries,Universal Music Group
Auliʻi Cravalho,Universal Music Group
Crawlers,Universal Music Group
Crazy Frog,Universal Music Group
Crazy Town,Universal Music Group
Creamy,Universal Music Group
The Cross,Universal Music Group
Taio Cruz,Universal Music Group
Crystal Castles,Universal Music Group
The Crystal Method,Universal Music Group
Culture Club,Universal Music Group
The Cure,Universal Music Group
Curren$y,Universal Music Group
Cut Copy,Universal Music Group
Miley Cyrus,Universal Music Group
D12,Universal Music Group
DaBaby,Universal Music Group
Da Mouth,Universal Music Group
Daddy Yankee,Universal Music Group
Dancemania,Universal Music Group
Elhaida Dani,Universal Music Group
Danzig,Universal Music Group
Dark Tranquility,Universal Music Group
Tiffany Darwish,Universal Music Group
Chris Daughtry,Universal Music Group
Craig David,Universal Music Group
Keith David,Universal Music Group
Darude,Universal Music Group
Days Difference,Universal Music Group
Dead by April,Universal Music Group
Dave Matthews Band,Universal Music Group
Deadmau5,Universal Music Group
Death,Universal Music Group
Dean,Universal Music Group
Deep Purple,Universal Music Group
Def Leppard,Universal Music Group
Emmelie de Forest,Universal Music Group
Lana Del Rey,Universal Music Group
DeLon,Universal Music Group
Kat DeLuna,Universal Music Group
Mao Denda,Universal Music Group
Depeche Mode,Universal Music Group
Desiigner,Universal Music Group
Device,Universal Music Group
Diamond Platnumz,Universal Music Group
Dido,Universal Music Group
Die Antwoord,Universal Music Group
Celine Dion,Universal Music Group
Dire Straits,Universal Music Group
Dirty Vegas,Universal Music Group
Aura Dione,Universal Music Group
Divine,Universal Music Group
Carlos do Carmo,Universal Music Group
DJ Snake,Universal Music Group
DMX,Universal Music Group
DNCE,Universal Music Group
Doda,Universal Music Group
Doro,Universal Music Group
Double You,Universal Music Group
Dolla,Universal Music Group
The-Dream,Universal Music Group
Dreams Come True,Universal Music Group
DragonForce,Universal Music Group
Dragonette,Universal Music Group
Drake,Universal Music Group
Dr. Dre,Universal Music Group
The Drums,Universal Music Group
Duck Sauce,Universal Music Group
Duffy,Universal Music Group
Dulce Maria,Universal Music Group
Duke Dumont,Universal Music Group
Josh Dun,Universal Music Group
Zélia Duncan,Universal Music Group
Duran Duran,Universal Music Group
Jason Dy,Universal Music Group
Dzeko,Universal Music Group
The Eagles,Universal Music Group
Kate Earl,Universal Music Group
Sheena Easton,Universal Music Group
Eazy-E,Universal Music Group
Eels,Universal Music Group
Taron Egerton,Universal Music Group
Eiffel 65,Universal Music Group
Billie Eilish,Universal Music Group
Chiwetel Ejiofor,Universal Music Group
Mikky Ekko,Universal Music Group
Cássia Eller,Universal Music Group
Yvonne Elliman,Universal Music Group
Eloy,Universal Music Group
Eminem,Universal Music Group
Enhypen,Universal Music Group
Paul Engemann,Universal Music Group
Enigma,Universal Music Group
Enca,Universal Music Group
Enya,Universal Music Group
Emma's Imagination,Universal Music Group
Empire of the Sun,Universal Music Group
Enter Shikari,Universal Music Group
Equinox,Universal Music Group
Sully Erna,Universal Music Group
Electric Banana Band,Universal Music Group
Escape the Fate,Universal Music Group
Darren Espanto,Universal Music Group
Estelle,Universal Music Group
Melissa Etheridge,Universal Music Group
Evanescence,Universal Music Group
Everglow,Universal Music Group
Mark Oliver Everett,Universal Music Group
Exodus,Universal Music Group
Fabolous,Universal Music Group
Faithless,Universal Music Group
Fall Out Boy,Universal Music Group
FanFan,Universal Music Group
Far East Movement,Universal Music Group
Mylène Farmer,Universal Music Group
Fazura,Universal Music Group
Felli Fel,Universal Music Group
Fergie,Universal Music Group
Paula Fernandes,Universal Music Group
Tiziano Ferro,Universal Music Group
Fever Ray,Universal Music Group
Fung Ho Lam,Universal Music Group
The Fevers,Universal Music Group
Fabri Fibra,Universal Music Group
Shane Filan,Universal Music Group
Finger Eleven,Universal Music Group
Melanie Fiona,Universal Music Group
Helene Fischer,Universal Music Group
Fisherman's Friends,Universal Music Group
Five for Fighting,Universal Music Group
Flaw,Universal Music Group
The Fleetwoods,Universal Music Group
Flipsyde,Universal Music Group
Florence and the Machine,Universal Music Group
David Fonseca,Universal Music Group
Forever the Sickest Kids,Universal Music Group
Lita Ford,Universal Music Group
Frankie Goes to Hollywood,Universal Music Group
Chester French,Universal Music Group
Fresno,Universal Music Group
Mel Fronckowiak,Universal Music Group
Masaharu Fukuyama,Universal Music Group
Nelly Furtado,Universal Music Group
Josh Gad,Universal Music Group
Gal Gadot,Universal Music Group
Lady Gaga,Universal Music Group
Serge Gainsbourg,Universal Music Group
Green Day,Universal Music Group
Lyca Gairanod,Universal Music Group
Sakura Gakuin,Universal Music Group
The Game,Universal Music Group
Melody Gardot,Universal Music Group
Gaston Bros,Universal Music Group
Green Day,Universal Music Group
Art Garfunkel,Universal Music Group
Martin Garrix,Universal Music Group
Manu Gavassi,Universal Music Group
Crystal Gayle,Universal Music Group
Cedric Gervais,Universal Music Group
Ghostface Killah,Universal Music Group
Vince Gill,Universal Music Group
Girlicious,Universal Music Group
Girls' Generation,Universal Music Group
Glass Animals,Universal Music Group
Donald Glover,Universal Music Group
Go Back to the Zoo,Universal Music Group
Go_A,Universal Music Group
Sergio Godinho,Universal Music Group
Godsmack,Universal Music Group
The Go-Go's,Universal Music Group
Selena Gomez,Universal Music Group
Anthony Gonzales,Universal Music Group
Lesley Gore,Universal Music Group
Gorillaz,Universal Music Group
Gotye,Universal Music Group
Ellie Goulding,Universal Music Group
The Graces,Universal Music Group
Josh Gracin,Universal Music Group
Ariana Grande,Universal Music Group
Amy Grant,Universal Music Group
Gravitonas,Universal Music Group
Conan Gray,Universal Music Group
David Gray,Universal Music Group
Loren Gray,Universal Music Group
Great White,Universal Music Group
Skylar Grey,Universal Music Group
Christina Grimmie,Universal Music Group
Jonathan Groff,Universal Music Group
Bai Guang,Universal Music Group
Ana Guerra,Universal Music Group
Juan Luis Guerra,Universal Music Group
David Guetta,Universal Music Group
Guns N' Roses,Universal Music Group
Cory Gunz,Universal Music Group
GZA,Universal Music Group
Haddaway,Universal Music Group
Halsey,Universal Music Group
Charles Hamilton,Universal Music Group
Jan Hammer,Universal Music Group
Jay Hardway,Universal Music Group
George Harrison,Universal Music Group
Debbie Harry,Universal Music Group
Yū Hayami,Universal Music Group
Asuca Hayashi,Universal Music Group
Megumi Hayashibara,Universal Music Group
Isaac Hayes,Universal Music Group
Joe Hisaishi,Universal Music Group
Heart,Universal Music Group
Hedley,Universal Music Group
Hellogoodbye,Universal Music Group
Heyoon Jeong,Universal Music Group
Hide,Universal Music Group
Keri Hilson,Universal Music Group
HIM,Universal Music Group
Hinder,Universal Music Group
Aya Hirano,Universal Music Group
Amy Holland,Universal Music Group
Eddie Holland,Universal Music Group
Buddy Holly,Universal Music Group
Hollywood Monsters,Universal Music Group
Hollywood Undead,Universal Music Group
Rupert Holmes,Universal Music Group
Minako Honda,Universal Music Group
Bai Hong,Universal Music Group
Hoobastank,Universal Music Group
Ace Hood,Universal Music Group
Mallary Hope,Universal Music Group
Hot Rod,Universal Music Group
Andy Hui,Universal Music Group
Hot Chelle Rae,Universal Music Group
Tomoyasu Hotei,Universal Music Group
Hozier,Universal Music Group
Mr Hudson,Universal Music Group
The Human League,Universal Music Group
Hyper Crush,Universal Music Group
HotBoii,Universal Music Group
I Blame Coco,Universal Music Group
I Mother Earth,Universal Music Group
I Prevail,Universal Music Group
Il Volo,Universal Music Group
Ice Nine Kills,Universal Music Group
Icehouse,Universal Music Group
Ida Maria,Universal Music Group
Ikke Nurjanah,Universal Music Group
Enrique Iglesias,Universal Music Group
Ilegales,Universal Music Group
Ilya,Universal Music Group
Imagine Dragons,Universal Music Group
Miki Imai,Universal Music Group
IMx,Universal Music Group
In Dread Response,Universal Music Group
Inna,Universal Music Group
Incubus,Universal Music Group
Infected Mushroom,Universal Music Group
Inner Circle,Universal Music Group
Infinite,Universal Music Group
Institute,Universal Music Group
Iron Maiden,Universal Music Group
Ironik,Universal Music Group
Tajja Isen,Universal Music Group
IZ*ONE,Universal Music Group
Izna,Universal Music Group
Iza,Universal Music Group
Michael Jackson,Universal Music Group
The Jackson 5,Universal Music Group
Jacquees,Universal Music Group
Jada,Universal Music Group
Jadakiss,Universal Music Group
Jadyn Maria,Universal Music Group
Jay-Z,Universal Music Group
Ja Rule,Universal Music Group
Jean-Michel Jarre,Universal Music Group
Wyclef Jean,Universal Music Group
Jedward,Universal Music Group
Jeezy,Universal Music Group
Jelena Karleuša,Universal Music Group
Carly Rae Jepsen,Universal Music Group
Jeremih,Universal Music Group
Jack Jersey,Universal Music Group
Gloria Jessica,Universal Music Group
Jessie J,Universal Music Group
Jessie James,Universal Music Group
Elton John,Universal Music Group
Dwayne Johnson,Universal Music Group
Jack Johnson,Universal Music Group
Marv Johnson,Universal Music Group
Michael Johnson,Universal Music Group
Jonas Brothers,Universal Music Group
Joe Jonas,Universal Music Group
Jovanotti,Universal Music Group
Juanes,Universal Music Group
Juice WRLD,Universal Music Group
Kadim Al Sahir,Universal Music Group
Katy Perry,Universal Music Group
Kuana Torres Kahele,Universal Music Group
Israel Kamakawiwoʻole,Universal Music Group
Karkadan,Universal Music Group
Katrina and the Waves,Universal Music Group
Crystal Kay,Universal Music Group
Kelis,Universal Music Group
Claude Kelly,Universal Music Group
Tori Kelly,Universal Music Group
DJ Khaled,Universal Music Group
Wiz Khalifa,Universal Music Group
Kid Abelha,Universal Music Group
Kid Cudi,Universal Music Group
Kidz Bop Kids,Universal Music Group
The Killers,Universal Music Group
Natalia Kills,Universal Music Group
Lil' Kim,Universal Music Group
Kiss,Universal Music Group
Kings of Leon,Universal Music Group
K.I.Z,Universal Music Group
The Knife,Universal Music Group
Kristian Kostov,Universal Music Group
Kaori Kozai,Universal Music Group
KR$NA,Universal Music Group
Kodak Black,Universal Music Group
Alison Krauss,Universal Music Group
Eric Kwok,Universal Music Group
George Lam,Universal Music Group
Gin Lee,Universal Music Group
La Roux,Universal Music Group
Juan Karlos Labajo,Universal Music Group
Lady A,Universal Music Group
Ladyhawke,Universal Music Group
Natalia Lafourcade,Universal Music Group
Laleh,Universal Music Group
Sandy Lam,Universal Music Group
Kendrick Lamar,Universal Music Group
Ken Carson,Universal Music Group
Kep1er,Universal Music Group
Kensington,Universal Music Group
Kobo Kanaeru,Universal Music Group
La Materialista,Universal Music Group
Elettra Lamborghini,Universal Music Group
Bishop Lamont,Universal Music Group
Yves Larock,Universal Music Group
Latifa,Universal Music Group
Latino,Universal Music Group
Lawson,Universal Music Group
Lebo M,Universal Music Group
Swae Lee,Universal Music Group
John Lennon,Universal Music Group
Fish Leong,Universal Music Group
Nolwenn Leroy,Universal Music Group
Donna Lewis,Universal Music Group
Prudence Liew,Universal Music Group
Lifer,Universal Music Group
Lights,Universal Music Group
Lil Ru,Universal Music Group
Lim Hyung Joo,Universal Music Group
Lim Young-woong,Universal Music Group
Limp Bizkit,Universal Music Group
Little River Band,Universal Music Group
Cher Lloyd,Universal Music Group
LMFAO,Universal Music Group
Justin Lo,Universal Music Group
Lowell Lo,Universal Music Group
Tove Lo,Universal Music Group
Lobão,Universal Music Group
Lobo,Universal Music Group
Logic,Universal Music Group
The Lonely Island,Universal Music Group
Jennifer Lopez,Universal Music Group
Pablo Lopez,Universal Music Group
T Lopez,Universal Music Group
Lorde,Universal Music Group
Loona,Universal Music Group
Pixie Lott,Universal Music Group
Demi Lovato,Universal Music Group
Lucenzo,Universal Music Group
Ludo,Universal Music Group
Ludacris,Universal Music Group
The Lumineers,Universal Music Group
Luna Sea,Universal Music Group
Ross Lynch,Universal Music Group
Lyodra Ginting,Universal Music Group
The Last Dinner Party,Universal Music Group
Mabel,Universal Music Group
Seth MacFarlane,Universal Music Group
Mary MacGregor,Universal Music Group
Mack 10,Universal Music Group
Madonna,Universal Music Group
Kaitlyn Maher,Universal Music Group
Mahmood,Universal Music Group
Mack Maine,Universal Music Group
Ziva Magnolya,Universal Music Group
The Maine,Universal Music Group
Majid Al Mohandis,Universal Music Group
Yngwie Malmsteen,Universal Music Group
Glasses Malone,Universal Music Group
Post Malone,Universal Music Group
Marilyn Manson,Universal Music Group
Mamonas Assassinas,Universal Music Group
Mandisa,Universal Music Group
Mannie Fresh,Universal Music Group
Marcelo D2,Universal Music Group
Marcus & Martinus,Universal Music Group
Marky,Universal Music Group
Maria Isabel,Universal Music Group
Bob Marley,Universal Music Group
Maroon 5,Universal Music Group
Marracash,Universal Music Group
Marshmello,Universal Music Group
Jessica Mauboy,Universal Music Group
Dean Martin,Universal Music Group
The Marvelettes,Universal Music Group
Richard Marx,Universal Music Group
Massacration,Universal Music Group
Masta Killa,Universal Music Group
Takako Matsu,Universal Music Group
Seiko Matsuda,Universal Music Group
Yumi Matsutoya,Universal Music Group
Yasuko Matsuyuki,Universal Music Group
John Mayer,Universal Music Group
Paul McCartney,Universal Music Group
JD McCrary,Universal Music Group
Reba McEntire,Universal Music Group
Bobby McFerrin,Universal Music Group
Maureen McGovern,Universal Music Group
Tim McGraw,Universal Music Group
Kevin McHale,Universal Music Group
Don McLean,Universal Music Group
Katharine McPhee,Universal Music Group
Meat Loaf,Universal Music Group
Megadeth,Universal Music Group
John Mellencamp,Universal Music Group
Shawn Mendes,Universal Music Group
Roi Méndez,Universal Music Group
Bridgit Mendler,Universal Music Group
Idina Menzel,Universal Music Group
Daniel Merriweather,Universal Music Group
Metallica,Universal Music Group
Metal Church,Universal Music Group
Method Man,Universal Music Group
Lena Meyer-Landrut,Universal Music Group
MIA,Universal Music Group
Michael Learns to Rock,Universal Music Group
Julia Michaels,Universal Music Group
Chrisette Michelle,Universal Music Group
Migos,Universal Music Group
Miguel,Universal Music Group
Mihimaru GT,Universal Music Group
Mika,Universal Music Group
Christina Milian,Universal Music Group
Jae Millz,Universal Music Group
Nicki Minaj,Universal Music Group
Lin-Manuel Miranda,Universal Music Group
Miyavi,Universal Music Group
Mishlawi,Universal Music Group
Miss A,Universal Music Group
Mohamed Hamaki,Universal Music Group
Karen Mok,Universal Music Group
Zascha Moktan,Universal Music Group
Moneybagg Yo,Universal Music Group
Monsta X,Universal Music Group
Monster Magnet,Universal Music Group
French Montana,Universal Music Group
Mori Calliope,Universal Music Group
Ryoko Moriyama,Universal Music Group
Giorgio Moroder,Universal Music Group
James Morrison,Universal Music Group
Lil Mosey,Universal Music Group
Motörhead,Universal Music Group
Mohamed Mounir,Universal Music Group
Ana Moura,Universal Music Group
George Michael,Universal Music Group
Nana Mouskouri,Universal Music Group
Mumford & Sons,Universal Music Group
Anne Murray,Universal Music Group
Muse,Universal Music Group
Kacey Musgraves,Universal Music Group
Mushroomhead,Universal Music Group
Mýa,Universal Music Group
Billie Myers,Universal Music Group
David Nail,Universal Music Group
Nadia Nakai,Universal Music Group
Najwa Karam,Universal Music Group
The Naked and Famous,Universal Music Group
Naked Eyes,Universal Music Group
Ariel Nan,Universal Music Group
Nancy Ajram,Universal Music Group
Gianna Nannini,Universal Music Group
Nas,Universal Music Group
Milton Nascimento,Universal Music Group
Nasty C,Universal Music Group
Nate Dogg,Universal Music Group
Nav,Universal Music Group
Nawal El Zoghbi,Universal Music Group
NCT 127,Universal Music Group
N-Dubz,Universal Music Group
Ne-Yo,Universal Music Group
Nelly,Universal Music Group
Jesy Nelson,Universal Music Group
N.E.R.D,Universal Music Group
Randy Newman,Universal Music Group
Olivia Newton-John,Universal Music Group
Kary Ng,Universal Music Group
Nickelback,Universal Music Group
Night Ranger,Universal Music Group
Nightwish,Universal Music Group
